id,title,category,tags,view_count,author_name,created_date,status,word_count,avg_rating,comment_count,bookmark_count
28,How to Use Microsoft Teams Effectively,IT Support,"teams,collaboration,communication",1340,Jane Doe,2024-03-12,published,620,4.5,16,85
29,Phishing Attack Recognition and Prevention,Security,"phishing,security,awareness",1190,Carol Davis,2024-03-15,published,740,4.8,18,98
30,Quarterly Budget Review Process,Finance,"budget,finance,quarterly",450,Bob Williams,2024-03-18,published,680,4.0,4,22
31,Configuring SSL Certificates,IT Support,"ssl,certificates,security",580,John Smith,2024-03-20,published,850,4.3,5,31
32,Agile Sprint Planning Guide,DevOps,"agile,sprint,planning",720,David Lee,2024-03-22,published,790,4.6,8,45
33,How to Conduct a 1-on-1 Meeting,HR,"management,1on1,feedback",1050,Alice Johnson,2024-03-25,published,640,4.7,13,70
34,Incident Response Playbook,Security,"incident,response,security",530,Carol Davis,2024-03-28,published,1100,4.5,5,32
35,Load Balancer Configuration Guide,DevOps,"load-balancer,nginx,infrastructure",410,David Lee,2024-04-01,published,980,4.4,3,20
36,How to Escalate an IT Support Ticket,IT Support,"escalation,support,helpdesk",890,Jane Doe,2024-04-03,published,390,4.2,8,46
37,Recruitment and Hiring Process,HR,"recruitment,hiring,hr",1020,Alice Johnson,2024-04-05,published,820,4.6,11,60
38,Credit Card Expense Policy,Finance,"credit-card,expense,policy",620,Bob Williams,2024-04-08,published,510,4.1,5,30
39,Penetration Testing Procedures,Security,"pentest,security,vulnerability",340,Carol Davis,2024-04-10,published,1300,4.6,3,18
40,Monitoring and Alerting with Prometheus,DevOps,"monitoring,prometheus,alerting",480,David Lee,2024-04-12,published,1050,4.7,4,26
41,Employee Code of Conduct,HR,"conduct,policy,ethics",1450,Alice Johnson,2024-04-15,published,1100,4.8,17,95
42,Printer Setup and Troubleshooting,IT Support,"printer,setup,troubleshooting",1230,Jane Doe,2024-04-18,published,470,4.1,10,55
43,How to Archive Old Projects,DevOps,"archive,project,storage",360,David Lee,2024-04-20,published,520,4.3,3,17
44,Fiscal Year End Accounting Guide,Finance,"fiscal,accounting,year-end",380,Bob Williams,2024-04-22,published,890,4.2,3,20
45,Zoom Meeting Security Settings,Security,"zoom,meeting,security",760,Carol Davis,2024-04-25,published,430,4.5,8,48
46,Infrastructure as Code with Terraform,DevOps,"terraform,iac,infrastructure",420,David Lee,2024-04-28,published,1150,4.7,4,25
47,How to Use the HR Self-Service Portal,HR,"hr,self-service,portal",1380,Alice Johnson,2024-05-01,published,490,4.6,15,82
48,Wireless Network Security Policy,Security,"wifi,wireless,security",580,Carol Davis,2024-05-03,published,660,4.4,6,35
49,Software Deployment Checklist,DevOps,"deployment,checklist,release",640,David Lee,2024-05-05,published,720,4.5,6,38
50,How to File an Insurance Claim,Finance,"insurance,claim,finance",540,Bob Williams,2024-05-08,published,570,4.3,5,28
51,Remote Desktop Access Setup,IT Support,"rdp,remote,access",940,John Smith,2024-05-10,published,560,4.4,9,50
52,Log Management with ELK Stack,DevOps,"logs,elk,monitoring",390,David Lee,2024-05-12,published,1020,4.6,3,22
53,Anti-Harassment Policy,HR,"harassment,policy,hr",1100,Alice Johnson,2024-05-15,published,920,4.8,13,75
54,Server Hardening Checklist,Security,"server,hardening,security",430,Carol Davis,2024-05-18,published,980,4.6,4,25
55,How to Request a Software License,IT Support,"software,license,request",780,John Smith,2024-05-20,published,420,4.2,7,40
56,Blue-Green Deployment Strategy,DevOps,"deployment,blue-green,strategy",330,David Lee,2024-05-22,published,840,4.7,3,18
57,Employee Referral Program Guide,HR,"referral,hr,recruitment",860,Alice Johnson,2024-05-25,published,560,4.5,9,52
58,VAT and Tax Compliance Overview,Finance,"vat,tax,compliance",290,Bob Williams,2024-05-28,published,780,4.0,2,15
59,OAuth 2.0 Integration Guide,Security,"oauth,sso,security",460,Carol Davis,2024-06-01,published,1050,4.6,4,27
60,How to Write a Post-Mortem Report,DevOps,"postmortem,incident,documentation",570,David Lee,2024-06-03,published,760,4.7,6,35
61,Laptop Security Best Practices,Security,"laptop,security,endpoint",1050,Carol Davis,2024-06-05,published,640,4.5,11,62
62,Payroll Processing Schedule,Finance,"payroll,schedule,finance",760,Bob Williams,2024-06-08,published,450,4.3,7,42
63,How to Set Up a Development Environment,DevOps,"dev-environment,setup,developer",1120,David Lee,2024-06-10,published,890,4.8,14,78
64,Conflict Resolution Procedures,HR,"conflict,resolution,hr",780,Alice Johnson,2024-06-12,published,700,4.6,8,48
65,Cloud Cost Optimization Strategies,DevOps,"cloud,cost,optimization",490,David Lee,2024-06-15,published,930,4.7,5,30
66,How to Enable BitLocker Encryption,Security,"bitlocker,encryption,windows",890,Carol Davis,2024-06-18,published,520,4.5,9,53
67,Vendor Management Process,Finance,"vendor,management,procurement",340,Bob Williams,2024-06-20,published,660,4.1,3,18
68,Automated Testing Best Practices,DevOps,"testing,automation,qa",680,David Lee,2024-06-22,published,880,4.6,7,42
69,How to Use SharePoint Document Libraries,IT Support,"sharepoint,documents,collaboration",1050,Jane Doe,2024-06-25,published,580,4.4,11,60
70,Diversity and Inclusion Policy,HR,"diversity,inclusion,policy",920,Alice Johnson,2024-06-28,published,850,4.7,12,70
71,Service Mesh with Istio,DevOps,"istio,service-mesh,microservices",270,David Lee,2024-07-01,published,1100,4.5,2,15
72,How to Conduct Exit Interviews,HR,"exit-interview,hr,offboarding",640,Alice Johnson,2024-07-03,published,590,4.4,6,37
73,Password Manager Setup Guide,Security,"password-manager,security,credentials",1180,Carol Davis,2024-07-05,published,480,4.7,13,80
74,How to Reconcile a Bank Statement,Finance,"reconciliation,bank,finance",380,Bob Williams,2024-07-08,published,610,4.2,3,20
75,React Component Best Practices,DevOps,"react,frontend,best-practices",590,David Lee,2024-07-10,published,820,4.6,6,36
76,How to Install Office 365,IT Support,"office365,installation,software",1640,Jane Doe,2024-07-12,published,460,4.3,15,90
77,GDPR Compliance Guide,Security,"gdpr,compliance,data-protection",820,Carol Davis,2024-07-15,published,1200,4.8,10,65
78,Employee Training and Development Policy,HR,"training,development,hr",870,Alice Johnson,2024-07-18,published,780,4.6,9,55
79,Microservices Architecture Patterns,DevOps,"microservices,architecture,patterns",540,David Lee,2024-07-20,published,1050,4.7,5,32
80,How to Troubleshoot Slow Internet,IT Support,"network,slow,troubleshooting",1450,John Smith,2024-07-22,published,530,4.2,14,78
81,Capital Expenditure Request Process,Finance,"capex,budget,approval",290,Bob Williams,2024-07-25,published,670,4.0,2,14
82,Secure File Sharing Guidelines,Security,"file-sharing,security,policy",710,Carol Davis,2024-07-28,published,590,4.5,7,43
83,How to Use Jira for Project Tracking,DevOps,"jira,project-management,agile",880,David Lee,2024-08-01,published,720,4.6,9,54
84,Maternity and Paternity Leave Policy,HR,"maternity,paternity,leave",970,Alice Johnson,2024-08-03,published,860,4.7,11,68
85,Network Firewall Rules Management,Security,"firewall,network,security",390,Carol Davis,2024-08-05,published,890,4.4,3,22
86,How to Use Power BI for Reporting,IT Support,"powerbi,reporting,analytics",760,Jane Doe,2024-08-08,published,680,4.5,8,47
87,Continuous Monitoring in DevSecOps,DevOps,"devsecops,monitoring,security",420,David Lee,2024-08-10,published,970,4.7,4,26
88,Employee Wellness Program Guide,HR,"wellness,health,benefits",1020,Alice Johnson,2024-08-12,published,640,4.6,11,65
89,SQL Query Optimization Tips,DevOps,"sql,database,optimization",650,David Lee,2024-08-15,published,790,4.7,7,40
90,How to Configure Email Signatures,IT Support,"email,signature,outlook",1380,Jane Doe,2024-08-18,published,380,4.1,12,72
91,Supply Chain Risk Management,Finance,"supply-chain,risk,procurement",270,Bob Williams,2024-08-20,published,820,4.2,2,13
92,Social Engineering Awareness Training,Security,"social-engineering,awareness,security",730,Carol Davis,2024-08-22,published,950,4.7,8,50
93,How to Manage Environment Variables,DevOps,"env-vars,configuration,devops",540,David Lee,2024-08-25,published,620,4.5,5,32
94,Flexible Working Arrangements Policy,HR,"flexible-work,remote,policy",1150,Alice Johnson,2024-08-28,published,730,4.6,13,78
95,Monthly Financial Reporting Guide,Finance,"financial,reporting,monthly",330,Bob Williams,2024-09-01,published,760,4.3,3,18
96,How to Recover Deleted Files,IT Support,"recovery,files,windows",1320,John Smith,2024-09-03,published,490,4.2,12,68
97,Zero Trust Security Architecture,Security,"zero-trust,security,architecture",480,Carol Davis,2024-09-05,published,1150,4.8,5,35
98,How to Create a Knowledge Base Article,HR,"knowledge-base,writing,documentation",920,Alice Johnson,2024-09-08,published,610,4.7,10,60
99,PostgreSQL Performance Tuning,DevOps,"postgresql,database,performance",430,David Lee,2024-09-10,published,1020,4.6,4,27
100,How to Handle Data Breach Incidents,Security,"data-breach,incident,security",680,Carol Davis,2024-09-12,published,1050,4.8,7,48
101,Hybrid Cloud Strategy Guide,DevOps,"hybrid-cloud,strategy,cloud",360,David Lee,2024-09-15,published,980,4.6,3,20
102,Employee Stock Options Explained,Finance,"stock-options,equity,finance",510,Bob Williams,2024-09-18,published,720,4.4,5,30
103,How to Set Up SSO with Okta,Security,"sso,okta,authentication",550,Carol Davis,2024-09-20,published,840,4.7,5,34
104,Cross-Department Collaboration Best Practices,HR,"collaboration,teamwork,communication",830,Alice Johnson,2024-09-22,published,680,4.5,9,52
105,Feature Flag Management,DevOps,"feature-flags,deployment,release",390,David Lee,2024-09-25,published,750,4.6,3,22
